商品编码,"商城
销售价","商城
基础佣金"
HH00000526,142,13.76
HH00000527,107,10.29
HH00000528,199,14.32
HH00000530,142,19.13
HH00000534,228,26.6
zrrh1000004,65,7.98
HH00000031,78,3.7
zrmynf1000105,287,11.71
HH00000269,73,5.12
HH00000385,242,23.99
zrmynf1000106,540,21.37
HH00000535,153,12.13
HH00000537,52,3.48
HH00000538,52,12.1
HH00000541,76,8.15
HH00000550,142,14.6
HH00000554,85,5.98
HH00000558,187,11.21
HH00000559,265,18.54
HH00000560,220,5.74
HH00000570,309,9.61
HH00000571,555,38.76
HH00000572,298,12.53
HH00000584,317,19.81
HH00000585,317,16.83
HH00000586,317,19.81
HH00000587,355,39.32
HH00000588,498,52.54
HH00000590,376,20.21
HH00000593,83,12.94
HH00000595,42,2.89
HH00000598,83,4.89
HH00000599,69,8.31
HH00000600,55,5.62
HH00000601,109,15.57
HH00000602,72,10.26
HH00000603,42,3.35
HH00000604,66,7.16
HH00000605,43,2.78
HH00000606,45,1.93
HH00000610,287,14.54
HH00000611,287,16.9
HH00000613,265,6.85
HH00000616,788,26.46
HH00000617,732,38.73
HH00000618,599,24.87
HH00000621,776,38.09
HH00000627,276,8.38
HH00000633,66,7.25
HH00000635,87,6.31
HH00000636,61,6.65
HH00000637,72,10.87
HH00000638,139,14.73
HH00000646,56,3.35
HH00000647,45,2.53
HH00000648,83,8.13
HH00000649,68,11.33
HH00000650,78,4.91
HH00000654,117,5.34
HH00000658,65,13.22
HH00000659,220,12.55
HH00000661,263,12.13
HH00000671,220,17.24
HH00000672,109,13.56
HH00000673,165,17.29
HH00000675,66,7.16
HH00000676,66,8.77
HH00000677,66,6.43
HH00000679,62,5.22
HH00000680,62,5.22
HH00000681,159,1.98
HH00000682,159,2.84
HH00000683,159,4.51
zrhz1000160,431,16.47
zrmyznk1000009,120,13.67
zrmyznk1000010,256,35.79
HH00000059,77,17.01
zrmyznk1000007,128,17.05
zrhz1000051,320,17.98
HH00000046,376,18.78
HH00000085,298,19.9
zrmyfs100012,53,4.78
HH00000450,87,10.5
HH00000464,65,7.43
HH00000513,139,18.65
zrbj000063,126,14.43
zrhz1000050,331,23.68
zrhz1000052,220,5.1
zrhz1000053,109,14.77
zrhz1000055,66,6.96
zrhz1000056,298,20.03
zrhz1000057,150,10.21
zrhz1000058,420,26.05
zrhz1000059,265,19.83
zrhz1000060,265,19.83
zrhz1000061,317,16.7
zrhz1000066,376,18.76
zrhz1000071,765,120.27
zrhz1000077,153,18.73
zrhz1000079,117,14.58
zrhz1000085,65,8.18
zrhz1000087,117,17.83
zrhz1000088,66,7.56
zrhz1000089,177,11.16
zrhz1000090,128,7.95
zrhz1000092,66,2.2
zrhz1000093,77,9.47
zrhz1000097,98,8.54
zrhz1000098,98,8.54
zrhz1000100,72,9.46
zrhz1000101,72,11.47
zrhz1000102,72,11.47
zrhz1000103,72,11.47
zrhz1000104,72,12.28
zrhz1000105,120,8.91
zrhz1000107,55,6.98
zrhz1000109,77,12.74
zrhz1000114,65,8.18
zrhz1000115,65,4.49
zrhz1000118,298,26.63
zrhz1000119,298,19.5
zrhz1000120,298,12.53
zrhz1000121,298,24.49
zrhz1000124,287,5.33
zrhz1000126,139,12.19
zrhz1000130,265,27
zrhz1000131,176,27.14
zrhz1000134,58,4.98
zrhz1000133,76,6.96
zrbj000002,166,12.48
zrbj000003,139,13.77
zrbj000004,87,4.73
zrbj000005,106,9.91
zrbj000007,50,4.85
zrbj000008,142,8.07
zrbj000009,209,19.24
zrhz1000135,287,24.07
zrhz1000136,142,14.98
zrhz1000138,165,17.13
zrhz1000144,109,7.69
zrhz1000145,69,6.32
zrhz1000147,87,11.13
zrhz1000148,109,7.52
zrhz1000150,120,7.7
zrhz1000152,109,5.5
zrhz1000157,209,18.03
zrhz1000158,255,13.14
zrhz1000159,100,8.5
zrhz1000161,109,11.47
zrhz1000163,276,14.56
zrhz1000164,142,10.89
zrhz1000170,989,35.26
zrhz1000176,106,14.83
zrbj000018,142,14.92
zrbj000019,142,6.87
zrbj000020,142,8.88
zrbj000022,109,25.17
zrbj000023,120,8.63
zrbj000024,109,25.17
zrbj000026,176,40.13
zrbj000028,141,9.57
zrbj000029,153,19.94
zrbj000030,121,11.31
zrbj000031,109,8.73
zrbj000032,131,11.11
zrbj000034,98,8.54
zrbj000039,176,8.61
zrbj000041,109,19.6
zrbj000043,120,12.54
zrbj000045,165,6.41
zrhz1000177,409,23.15
zrhz1000178,431,24.87
zrhz1000179,498,40.81
zrhz1000180,409,27.38
zrhz1000181,431,20.09
zrhz1000182,431,9.25
zrhz1000184,77,12.18
zrhz1000185,76,12.35
zrhz1000186,187,17.81
zrhz1000187,187,16.46
zrhz1000189,106,15.3
zrhz1000190,199,13.39
zrhz1000191,167,15.8
zrhz1000194,109,7.11
zrhz1000195,47,4.71
zrhz1000196,298,33.46
zrhz1000199,187,16.99
zrhz1000201,55,8.18
zrhz1000204,86,6.97
zrhz1000206,65,6.77
zrhz1000207,139,12.69
zrhz1000208,109,6.71
zrhz1000210,109,11.55
zrhz1000213,83,9.18
zrhz1000214,83,9.59
zrhz1000215,109,8.4
zrhz1000218,83,10.45
zrhz1000222,83,4
zrhz1000224,98,9.35
zrhz1000227,161,11.4
zrrh1000001,53,4.19
zrrh1000002,53,4.19
zrrh1000005,65,8.13
zrrh1000006,65,6.17
zrrh1000007,70,7.28
zrrh1000008,53,12.65
zrrh1000009,76,9.38
zrrh1000012,61,5.24
zrrh1000015,128,11.98
zrrh1000018,28,3.88
zrrh1000023,95,6.65
zrrh1000024,95,8.75
zrrh1000025,95,7.91
zrrh1000028,87,8.64
zrrh1000029,42,8.44
zrrh1000031,61,6.45
zrrh1000032,53,9.03
zrrh1000033,53,9.03
zrrh1000035,72,13.08
zrrh1000037,110,35.3
zrrh1000048,83,8.96
zrhz1000229,39,6.08
zrhz1000231,32,3.4
zrrh1000052,76,6.52
zrrh1000054,61,8.46
zrrh1000055,76,8.57
zrrh1000056,109,8.73
zrrh1000058,142,12
zrrh1000059,72,10.67
zrrh1000060,109,11.55
zrrh1000061,61,5.84
zrrh1000062,61,6.05
zrrh1000063,50,4.65
zrrh1000067,62,4.01
zrrh1000069,39,5.56
zrrh1000071,39,4.57
zrrh1000072,1099,118.14
zrrh1000073,28,3.88
zrrh1000074,32,3.4
zrrh1000075,32,3.4
zrhz1000232,28,4.28
zrrh1000079,36,4.12
zrmyfs100002,43,2.36
zrmyfs100005,50,2.39
zrmyfs100006,43,5.29
zrmyfs100007,65,4.87
zrmyfs100009,43,3.43
zrmyfs100015,32,2.05
zrmyfs100016,32,4.17
zrmyfs100020,32,0.85
zrmybj100008,109,11.95
zrmybj100013,72,7.08
zrmybj100014,121,8.85
zrmybj100016,153,12.69
zrmybj100017,153,9.07
zrmybj100018,165,10.01
ZRMYYP100001,50,3.48
ZRMYYP100002,50,3.48
ZRMYYP100003,176,28.67
ZRMYYP100004,187,25.17
ZRMYYP100006,187,25.17
ZRMYYP100007,99,12.15
ZRMYYP100009,161,10.12
ZRMYYP100010,76,4.63
ZRMYYP100017,140,18.19
ZRMYYP100018,110,5.48
ZRMYYP100025,99,21.01
ZRMYYP100026,77,13.79
ZRMYYP100027,70,15.94
ZRMYYP100030,66,15.22
ZRMYYP100034,76,3.33
ZRMYYP100036,88,3.17
ZRMYYP100037,50,2.64
ZRMYYP100038,321,19.16
ZRMYYP100040,95,6.4
ZRMYYP100042,102,7.73
ZRMYYP100046,32,1.58
zrmynf1000012,155,6.63
zrmynf1000013,298,14.16
zrmynf1000018,155,4.9
zrmynf1000019,298,10.7
zrmynf1000026,165,15.09
zrmynf1000027,318,32.09
zrmynf1000030,276,21.09
zrmynf1000031,540,121.49
zrmynf1000033,518,114.67
zrmynf1000042,155,18.25
zrmynf1000043,298,35.54
zrmynf1000048,132,12.19
zrmynf1000049,255,28.81
zrmynf1000050,132,8.06
zrmynf1000051,255,28.21
zrmynf1000053,431,45.07
zrmynf1000055,431,46.86
zrmynf1000058,72,5.43
zrmynf1000059,139,31.1
zrmynf1000061,139,31.1
zrmynf1000062,95,10.92
zrmynf1000063,183,24.91
zrmynf1000065,183,24.91
zrmynf1000068,83,7.56
zrmynf1000069,161,17.36
zrmynf1000070,83,4.68
zrmynf1000071,161,14.01
zrmynf1000072,143,24.38
zrmynf1000076,155,17.8
zrmynf1000077,299,36.87
zrmynf1000078,132,19.96
zrmynf1000079,255,56.61
zrmynf1000080,143,16.78
zrmynf1000081,277,55.76
zrmynf1000084,143,14.62
zrmynf1000085,277,31.19
zrmynf1000088,245,23.95
zrmynf1000089,143,13.07
zrmynf1000090,277,28.17
zrmynf1000091,155,8.66
zrmynf1000092,299,19.51
zrmynf1000101,254,18.75
zrmynf1000102,496,33.88
zrmynf1000103,265,3.82
zrmynf1000104,518,21.6
zrmynf1000108,532,50.93
zrmynf1000110,520,43.54
zrmynf1000112,498,59.46
zrmynf1000113,220,25.87
zrmynf1000114,420,51.03
zrmyznk1000004,220,20.61
zrmyznk1000005,110,3.87
zrmyznk1000006,209,41.8
zrmyznk1000020,183,4.5
zrmyznk1000023,132,3.03
zrmyznk1000024,255,7.86
zrmyznk1000035,329,78.51
zrmyznk1000036,416,37.55
zrhz1000113,35,6.16
zrrh1000020,110,2.73
zrrh1000038,96,6.16
zrrh1000077,190,18.41
zrmyznk1000001,117,12.53
zrmyznk1000002,195,6.22
zrmyznk1000037,110,4.63
zrmynf1000066,117,12.16
zrmyznk1000012,255,24.58
zrmyznk1000031,111,5.25
zrmyznk1000032,196,6.38
HH00000007,276,26.4
HH00000159,132,12.3
HH00000052,62,2.96
zrmyfs100017,39,4.54
HH00000453,97,10.69
HH00000058,50,6.67
HH00000062,90,9.1
zrrh1000066,50,5.59
zrmyznk1000030,183,4.5
zrmyznk1000041,285,16.44
zrmyznk1000042,375,20.01
zrrh1000026,39,3.66
zrbj000027,110,10.12
zrmynf1000082,155,17.68
zrmynf1000083,288,32.67
zrmyznk1000008,227,19.29
zrhz1000110,85,11.21
zrrh1000036,40,6.87
zrmyznk1000039,110,4.63
zrmyznk1000040,209,9.79
zrmynf1000115,409,37.85
zrhz1000203,99,9.73
ZRMYYP100019,110,6.29
ZRMYYP100024,83,12.46
ZRMYYP100028,120,11.73
zrmynf1000067,217,23.55
HH00000100,331,3.82
HH00000102,355,8.32
zrmyznk1000043,306,12.76
zrmyznk1000044,406,17.83
zrrh1000019,110,3.47
HH00000345,272,8.24
HH00000123,59,7.23
HH00000132,277,4.06
zrrh1000064,63,5.97
HH00000270,97,10.57
zrmyznk1000056,373,19.9
HH00000347,113,10.08
HH00000381,106,5.52
HH00000497,150,1.02
zrmyfs100011,65,3.75
zrhz1000067,688,47.85
zrhz1000117,231,12.36
zrhz1000220,162,10.82
zrbj000044,173,5.85
zrhz1000078,89,14.26
HH00000456,355,11.52
HH00000540,69,2.63
HH00000328,96,1.45
HH00000565,455,9.15
HH00000566,455,4.93
zrbj000006,122,5.07
zrbj000010,150,9.6
zrhz1000137,80,1.4
zrhz1000156,59,2.33
zrhz1000193,220,18.03
zrrh1000040,42,2.29
zrrh1000041,42,2.29
zrrh1000047,50,7.27
zrrh1000053,41,2.07
zrmybj100009,141,11.31
zrmybj100010,139,6.51
zrmybj100012,67,6.16
ZRMYYP100035,88,5
zrmynf1000006,172,18.57
zrmynf1000060,72,3.1
zrmynf1000064,95,6.25
HH00000054,37,2.57
HH00000018,88,1.77
HH00000033,66,4.09
HH00000394,89,7.29
HH00000063,76,5.36
zrmyfs100024,38,0.33
HH00000597,60,3.47
HH00000608,60,3.87
HH00000644,90,4.74
HH00000101,336,5.73
HH00000279,359,4.7
zrmyznk1000021,126,2.24
zrmyznk1000022,240,14.73
HH00000564,77,3.24
HH00000685,159,0.51
zrhz1000068,63,2.28
zrhz1000081,85,2.32
zrhz1000228,30,3.23
zrmyfs100025,40,1.38
zrmynf1000001,320,34.18
zrmynf1000052,221,12.56
zrmynf1000093,117,3.95
zrmynf1000094,228,9.71
HH00000350,369,42.6
HH00000522,277,0.86
HH00000524,298,7.9
HH00000849,599,62.26
HH00000850,599,62.26
HH00000854,622,24.32
HH00000875,205,11.28
HH00000876,107,8.7
HH00000877,99,4.87
HH00001039,167,15.28
HH00001052,83,5.75
HH00001053,381,46.4
HH00001054,381,46.4
HH00001055,381,46.4
HH00001056,239,2.16
HH00001058,109,6.1
HH00001071,239,18.96
HH00001073,80,4.86
HH00001104,85,4.8
HH00001127,163,10.14
HH00001130,476,24.81
HH00001131,931,42.63
HH00001132,742,38.03
HH00001207,465,24.48
HH00001208,417,22.25
HH00001209,596,31.06
HH00001210,410,20.72
HH00001211,433,21.84
HH00001212,687,37.18
HH00001213,143,4.61
HH00001214,99,8.1
HH00001216,99,6.26
HH00001217,99,6.26
HH00001218,99,6.26
HH00001219,107,6.4
HH00001220,107,6.4
HH00001221,99,4.64
HH00001223,876,14.99
HH00001224,66,7.04
HH00001225,421,22.61
HH00001226,426,23.1
HH00001227,421,22.48
HH00001228,209,5.7
HH00001282,206,3.9
HH00001286,509,-4.6
HH00001287,268,16.79
HH00001288,73,4.86
HH00001290,66,1.34
HH00001291,209,7.8
HH00001292,209,7.8
HH00001293,218,4.87
HH00001297,298,9.37
HH00001298,65,3.32
HH00001300,665,18.04
HH00001301,960,47.42
HH00001302,33,1.44
HH00001304,36,1.17
HH00001305,39,1.06
HH00001306,42,1.15
HH00001307,106,5.41
HH00001308,276,9.19
HH00001313,120,4.02
HH00001315,349,10.53
HH00001316,300,8.34
HH00001327,255,9.6
HH00001328,401,2.87
HH00001329,465,5.42
HH00001331,86,2.25
HH00001333,176,4.37
HH00001334,213,3.54
HH00001335,488,-1.05
HH00001336,485,9.5
HH00001337,399,6.18
HH00001338,176,6.77
HH00001340,435,8.61
HH00001344,380,7.55
HH00001345,987,41.35
HH00001346,987,41.35
HH00001347,876,44.82
HH00001348,1525,9.27
HH00001350,443,14.58
HH00001351,525,13.2
HH00001354,699,14.69
HH00001355,520,22.01
HH00001356,765,22.31
HH00001357,696,12.07
HH00001358,696,9.63
HH00001359,925,19.57
HH00001360,621,16.4
HH00001361,281,1.74
HH00001362,500,7
HH00001364,669,8.34
HH00001365,198,10.66
HH00001366,177,15.78
HH00001369,177,15.78
HH00001371,131,8.58
HH00001374,99,5.11
HH00001376,291,6.16
HH00001378,486,10.75
HH00001379,410,11.5
HH00001380,299,5.68
HH00001381,299,5.68
HH00001387,369,2.98
HH00001393,435,4.37
HH00001394,185,5.41
HH00001395,266,13.1
HH00001398,380,7.92
HHKJ000002,58,2.11
HHKJ000003,77,2.82
HHKJ000004,77,2.82
HHKJ000006,39,2.32
HHKJ000007,77,2.82
HHKJ000008,77,2.82
HHKJ000009,39,2.09
HHKJ000010,172,5.66
HHKJ000011,50,3.35
HHKJ000012,43,1.82
HHKJ000041,165,7.82
HHKJ000042,176,10.46
HHKJ000045,66,4.32
HHKJ000048,72,6.56
HHKJ000049,72,6.56
HHKJ000050,72,6.56
HHKJ000068,255,8.64
HHKJ000069,420,14.84
HHKJ000071,87,4.32
HHKJ000072,242,9.71
HHKJ000074,420,14.84
HHKJ000075,298,9.77
HHKJ000076,599,35.18
HHKJ000077,445,16.64
HHKJ000078,445,22.17
HHKJ000079,445,22.17
HHKJ000080,477,29.18
HHKJ000081,555,25.53
HHKJ000082,555,25.53
HHKJ000083,599,14.9
HHKJ000084,477,13.51
HHKJ000085,388,14.28
HHKJ000087,888,28.69
HHKJ000088,765,52.66
HHKJ000089,655,35.7
HHKJ000090,777,50.91
HHKJ000091,688,36.48
HHKJ000092,765,52.66
HHKJ000093,888,56.57
HHKJ000094,688,38.55
HHKJ000095,777,18.65
HHKJ000096,1111,68.8
HHKJ000097,888,61.41
HHKJ000098,777,46.99
HHKJ000099,822,60.77
HHKJ000100,745,50.81
HHKJ000101,666,41.1
HHKJ000102,355,13.27
HHKJ000103,265,9.22
HHKJ000104,387,11.71
HHKJ000105,287,9.43
HHKJ000107,85,8.76
HHKJ000108,55,3.75
HHKJ000109,445,8.36
HHKJ000110,320,10.67
HHKJ000111,142,7.15
HHKJ000112,106,1.73
HHKJ000114,56,1.9
HHKJ000116,77,3.05
HHKJ000117,98,8.04
HHKJ000118,77,4.88
HHKJ000119,77,3.93
HHKJ000120,98,2.54
HHKJ000121,69,2.45
HHKJ000122,67,2.7
HHKJ000123,72,4.5
HHKJ000124,77,8.09
HHKJ000126,53,1.78
HHKJ000127,117,3.07
HHKJ000128,629,25.39
HHKJ000129,68,3.84
HHKJ000130,147,0.87
HHKJ000131,1110,70.89
HHKJ000133,666,40.41
HHKJ000134,777,39.85
HHKJ000136,765,52.89
HHKJ000137,666,34.88
HHKJ000139,741,18.84
HHKJ000140,443,15.25
HHKJ000141,443,15.25
HHKJ000142,320,10.7
HHKJ000143,76,4.61
HHKJ000144,46,2.25
HHKJ000145,46,2.23
HHKJ000146,888,61.41
HHKJ000148,1000,72.82
HHKJ000150,822,61.23
HHKJ000152,822,61.23
HHKJ000153,822,61.23
HHKJ000155,1333,91.87
HHKJ000156,876,61.09
HHKJ000158,1000,74.43
HHKJ000159,777,37.08
HHKJ000160,2668,124.27
HHKJ000161,2668,124.27
HHKJ000162,2668,124.27
HHKJ000163,2668,124.27
HHKJ000165,443,16.2
HHKJ000166,555,25.53
HHKJ000167,555,25.53
HHKJ000168,543,20.37
HHKJ000169,543,20.37
HHKJ000170,543,20.37
HHKJ000171,543,20.37
HHKJ000172,66,2.94
HHKJ000173,53,1.15
HHKJ000174,77,3.74
HHKJ000175,43,1.78
HHKJ000177,155,7.92
HHKJ000178,155,7.92
HHKJ000179,98,2.58
HHKJ000180,566,27.25
HHKJ000181,1778,60.57
HHKJ000182,566,20.57
HHKJ000183,588,33
HHKJ000184,466,18.93
HHKJ000185,443,16.2
HHKJ000186,443,16.43
HHKJ000187,443,16.43
HHKJ000188,443,16.43
HHKJ000189,443,16.43
HHKJ000190,366,9.69
HHKJ000191,629,25.39
HHKJ000192,688,26.8
HHKJ000193,72,2.18
HHKJ000194,76,4.9
HHKJ000195,65,6.18
HHKJ000196,319,13.45
HHKJ000197,150,6.76
HHKJ000198,65,3.87
HHKJ000199,99,4.13
HHKJ000200,198,8.33
HHKJ000201,65,2.95
HHKJ000202,176,9.07
HHKJ000203,166,5.22
HHKJ000204,187,11.71
HHKJ000205,97,4.44
HHKJ000206,109,7.76
HHKJ000208,255,4.26
HHKJ000210,59,3.71
HHKJ000211,32,1.94
HHKJ000212,185,2.29
HHKJ000214,95,4.69
HHKJ000215,38,0.49
HHKJ000216,120,3.48
HHKJ000217,76,4.21
HHKJ000219,28,2.24
HHKJ000220,32,2.4
HHKJ000221,83,7.59
HHKJ000222,220,9.96
HHKJ000224,48,1.99
HHKJ000225,48,1.99
HHKJ000226,77,3.05
HHKJ000227,65,4.57
HHKJ000228,39,1.63
HHKJ000229,242,8.33
HHKJ000231,29,0.82
HHKJ000244,128,4.55
HHKJ000245,298,10.69
HHKJ000246,43,1.56
HHKJ000247,53,1.49
HHKJ000248,77,2.49
HHKJ000250,129,5.46
HHKJ000251,217,5.01
HHKJ000252,187,5.81
HHKJ000253,65,1.06
HHKJ000254,331,23.93
HHKJ000255,129,4.91
HHKJ000256,85,3.15
HHKJ000257,99,1.8
HHKJ000258,56,1.11
HHKJ000259,139,3.32
HHKJ000260,222,7.09
HHKJ000261,161,2.79
HHKJ000262,117,3.38
HHKJ000263,195,7.15
HHKJ000264,88,1.77
HHKJ000265,76,0.99
HHKJ000266,183,6.92
HHKJ000267,166,5.96
HHKJ000268,228,4.34
HHKJ000269,48,1.76
HHKJ000272,50,1.74
HHKJ000273,398,21.55
HHKJ000274,396,10.97
HHKJ000275,353,13.13
HHKJ000276,117,4.44
HHKJ000278,96,2.6
HHKJ000279,83,2.52
HHKJ000280,110,8.98
HHKJ000281,450,11.05
HHKJ000282,288,4.4
zrbj000058,190,19.98
zrbj000056,269,27.84
HHKJ000298,120,4.47
HHKJ000299,120,4.47
HHKJ000300,161,11.65
HHKJ000301,176,5.97
HHKJ000302,83,4.88
HHKJ000283,95,3.58
HHKJ000284,95,3.58
HHKJ000285,95,3.58
HHKJ000286,95,3.58
HHKJ000287,95,3.58
HHKJ000288,95,3.58
HHKJ000289,95,3.58
HHKJ000290,95,3.58
HHKJ000291,95,2.72
HHKJ000292,95,2.72
HHKJ000293,95,2.72
HHKJ000294,62,1.61
HHKJ000295,62,2.13
HHKJ000296,72,4.17
HHKJ000297,317,10.48
